Voltage varying with time for a square wave input being read using an ADC.
Time: 0.002839, Voltage: 1.601245
Time: 0.005677, Voltage: 1.600440
Time: 0.008516, Voltage: 1.601245
Time: 0.011354, Voltage: 1.602051
Time: 0.014193, Voltage: 1.600440
Time: 0.017031, Voltage: 1.600440
Time: 0.019870, Voltage: 1.600440
Time: 0.022708, Voltage: 1.599634
Time: 0.025547, Voltage: 1.600440
Time: 0.028385, Voltage: 1.600440
Time: 0.031224, Voltage: 1.600440
Time: 0.034062, Voltage: 1.599634
Time: 0.036901, Voltage: 1.599634
Time: 0.039739, Voltage: 1.600440
Time: 0.042578, Voltage: 1.600440
Time: 0.045416, Voltage: 0.531868
Time: 0.048255, Voltage: 0.531062
Time: 0.051093, Voltage: 0.531062
Time: 0.053932, Voltage: 0.530256
Time: 0.056770, Voltage: 0.531062
Time: 0.059609, Voltage: 0.530256
Time: 0.062447, Voltage: 0.530256
Time: 0.065286, Voltage: 0.530256
Time: 0.068124, Voltage: 0.531062
Time: 0.070963, Voltage: 0.531062
Time: 0.073801, Voltage: 0.530256
Time: 0.076640, Voltage: 0.530256
Time: 0.079478, Voltage: 0.530256
Time: 0.082317, Voltage: 0.531062
Time: 0.085155, Voltage: 0.530256
Time: 0.087994, Voltage: 0.530256
Time: 0.090832, Voltage: 0.530256
Time: 0.093671, Voltage: 0.531062
Time: 0.096509, Voltage: 1.599634
Time: 0.099348, Voltage: 1.600440
Time: 0.102186, Voltage: 1.600440
Time: 0.105025, Voltage: 1.600440
Time: 0.107863, Voltage: 1.600440
Time: 0.110702, Voltage: 1.601245
Time: 0.113540, Voltage: 1.602051
Time: 0.116379, Voltage: 1.600440
Time: 0.119217, Voltage: 1.600440
Time: 0.122056, Voltage: 1.600440
Time: 0.124895, Voltage: 1.599634
Time: 0.127733, Voltage: 1.600440
Time: 0.130572, Voltage: 1.600440
Time: 0.133410, Voltage: 1.601245
Time: 0.136249, Voltage: 1.601245
Time: 0.139087, Voltage: 1.600440
Time: 0.141926, Voltage: 1.600440
Time: 0.144764, Voltage: 0.531062
Time: 0.147603, Voltage: 0.531868
Time: 0.150441, Voltage: 0.530256
Time: 0.153280, Voltage: 0.530256
Time: 0.156118, Voltage: 0.531062
Time: 0.158957, Voltage: 0.530256
Time: 0.161795, Voltage: 0.530256
Time: 0.164634, Voltage: 0.530256
Time: 0.167472, Voltage: 0.530256
Time: 0.170311, Voltage: 0.531062
Time: 0.173149, Voltage: 0.530256
Time: 0.175988, Voltage: 0.530256
Time: 0.178826, Voltage: 0.530256
Time: 0.181665, Voltage: 0.530256
Time: 0.184503, Voltage: 0.530256
Time: 0.187342, Voltage: 0.530256
Time: 0.190180, Voltage: 0.531062
Time: 0.193019, Voltage: 0.531062
Time: 0.195857, Voltage: 1.599634
Time: 0.198696, Voltage: 1.598828
Time: 0.201534, Voltage: 1.600440
Time: 0.204373, Voltage: 1.600440
Time: 0.207211, Voltage: 1.601245
Time: 0.210050, Voltage: 1.602051
Time: 0.212888, Voltage: 1.600440
Time: 0.215727, Voltage: 1.600440
Time: 0.218565, Voltage: 1.601245
Time: 0.221404, Voltage: 1.600440
Time: 0.224242, Voltage: 1.599634
Time: 0.227081, Voltage: 1.600440
Time: 0.229919, Voltage: 1.601245
Time: 0.232758, Voltage: 1.599634
Time: 0.235596, Voltage: 1.600440
Time: 0.238435, Voltage: 1.599634
Time: 0.241273, Voltage: 1.600440
Time: 0.244112, Voltage: 1.600440
Time: 0.246950, Voltage: 0.531062
Time: 0.249789, Voltage: 0.531868
Time: 0.252628, Voltage: 0.531062
Time: 0.255466, Voltage: 0.531062
Time: 0.258305, Voltage: 0.530256
Time: 0.261143, Voltage: 0.530256
Time: 0.263982, Voltage: 0.530256
Time: 0.266820, Voltage: 0.530256
Time: 0.269659, Voltage: 0.531062
Time: 0.272497, Voltage: 0.531062
Time: 0.275336, Voltage: 0.531062
Time: 0.278174, Voltage: 0.531062
Time: 0.281013, Voltage: 0.530256
Time: 0.283851, Voltage: 0.531062
