Voltage varying with time for a square wave input being read using an ADC.
Time: 0.002842, Voltage: 2.122637
Time: 0.005684, Voltage: 2.121026
Time: 0.008525, Voltage: 2.121832
Time: 0.011367, Voltage: 2.121832
Time: 0.014209, Voltage: 2.121832
Time: 0.017051, Voltage: 2.121832
Time: 0.019893, Voltage: 2.122637
Time: 0.022734, Voltage: 2.121832
Time: 0.025576, Voltage: 2.121832
Time: 0.028418, Voltage: 2.123443
Time: 0.031260, Voltage: 2.124249
Time: 0.034102, Voltage: 2.120220
Time: 0.036944, Voltage: 0.051575
Time: 0.039785, Voltage: 0.051575
Time: 0.042627, Voltage: 0.052381
Time: 0.045469, Voltage: 0.051575
Time: 0.048311, Voltage: 0.052381
Time: 0.051153, Voltage: 0.051575
Time: 0.053994, Voltage: 0.051575
Time: 0.056836, Voltage: 0.052381
Time: 0.059678, Voltage: 0.052381
Time: 0.062520, Voltage: 0.051575
Time: 0.065362, Voltage: 0.051575
Time: 0.068203, Voltage: 0.051575
Time: 0.071045, Voltage: 0.052381
Time: 0.073887, Voltage: 0.051575
Time: 0.076729, Voltage: 0.052381
Time: 0.079571, Voltage: 0.052381
Time: 0.082413, Voltage: 0.052381
Time: 0.085254, Voltage: 0.051575
Time: 0.088096, Voltage: 2.120220
Time: 0.090938, Voltage: 2.122637
Time: 0.093780, Voltage: 2.121026
Time: 0.096622, Voltage: 2.121832
Time: 0.099463, Voltage: 2.121026
Time: 0.102305, Voltage: 2.122637
Time: 0.105147, Voltage: 2.121832
Time: 0.107989, Voltage: 2.121832
Time: 0.110831, Voltage: 2.121026
Time: 0.113672, Voltage: 2.122637
Time: 0.116514, Voltage: 2.121832
Time: 0.119356, Voltage: 2.121832
Time: 0.122198, Voltage: 2.121832
Time: 0.125040, Voltage: 2.122637
Time: 0.127882, Voltage: 2.121832
Time: 0.130723, Voltage: 2.121832
Time: 0.133565, Voltage: 2.121832
Time: 0.136407, Voltage: 0.051575
Time: 0.139249, Voltage: 0.052381
Time: 0.142091, Voltage: 0.052381
Time: 0.144932, Voltage: 0.052381
Time: 0.147774, Voltage: 0.051575
Time: 0.150616, Voltage: 0.052381
Time: 0.153458, Voltage: 0.052381
Time: 0.156300, Voltage: 0.051575
Time: 0.159141, Voltage: 0.051575
Time: 0.161983, Voltage: 0.052381
Time: 0.164825, Voltage: 0.051575
Time: 0.167667, Voltage: 0.052381
Time: 0.170509, Voltage: 0.051575
Time: 0.173350, Voltage: 0.051575
Time: 0.176192, Voltage: 0.051575
Time: 0.179034, Voltage: 0.052381
Time: 0.181876, Voltage: 0.051575
Time: 0.184718, Voltage: 0.052381
Time: 0.187560, Voltage: 2.118608
Time: 0.190401, Voltage: 2.121832
Time: 0.193243, Voltage: 2.121832
Time: 0.196085, Voltage: 2.122637
Time: 0.198927, Voltage: 2.122637
Time: 0.201769, Voltage: 2.122637
Time: 0.204610, Voltage: 2.122637
Time: 0.207452, Voltage: 2.121832
Time: 0.210294, Voltage: 2.121832
Time: 0.213136, Voltage: 2.122637
Time: 0.215978, Voltage: 2.122637
Time: 0.218819, Voltage: 2.121832
Time: 0.221661, Voltage: 2.121832
Time: 0.224503, Voltage: 2.122637
Time: 0.227345, Voltage: 2.122637
Time: 0.230187, Voltage: 2.123443
Time: 0.233029, Voltage: 2.124249
Time: 0.235870, Voltage: 2.122637
Time: 0.238712, Voltage: 0.052381
Time: 0.241554, Voltage: 0.052381
Time: 0.244396, Voltage: 0.052381
Time: 0.247238, Voltage: 0.051575
Time: 0.250079, Voltage: 0.054799
Time: 0.252921, Voltage: 0.051575
Time: 0.255763, Voltage: 0.051575
Time: 0.258605, Voltage: 0.052381
Time: 0.261447, Voltage: 0.052381
Time: 0.264288, Voltage: 0.051575
Time: 0.267130, Voltage: 0.051575
Time: 0.269972, Voltage: 0.051575
Time: 0.272814, Voltage: 0.052381
Time: 0.275656, Voltage: 0.051575
Time: 0.278497, Voltage: 0.052381
Time: 0.281339, Voltage: 0.052381
Time: 0.284181, Voltage: 0.052381
